N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1225.0,KODEX 미국S&P500에너지(합성),13270.0,100.0,-0.75%,0.0,277.0,2084.0,0.22,20840.0,,,218420
1226.0,KBSTAR 국채선물3년,51395.0,160.0,+0.31%,0.0,273.0,532.0,0.0,89.0,,,432600
1227.0,TRUE 인버스 2X 베트남 VN30 선물 ETN(H),27280.0,385.0,-1.39%,0.0,273.0,1000.0,0.0,2816.0,,,570066
1228.0,KODEX K-로봇액티브,11835.0,95.0,+0.81%,0.0,272.0,2300.0,0.0,125288.0,,,445290
1229.0,TIGER 200TR,17945.0,110.0,+0.62%,0.0,269.0,1500.0,0.0,531.0,,,310960
1230.0,금호전기,973.0,16.0,+1.67%,500.0,268.0,27554.0,1.57,96150.0,-1.08,-41.79,001210
1231.0,TRUE 블룸버그 레버리지 WTI원유 선물 ETN,13405.0,130.0,+0.98%,0.0,268.0,2000.0,0.0,1434.0,,,570078
1232.0,삼성 KRX 금현물 ETN,13295.0,40.0,-0.30%,0.0,266.0,2000.0,0.0,30.0,,,530067
1233.0,TIGER Fn신재생에너지,9480.0,40.0,-0.42%,0.0,265.0,2800.0,0.06,27373.0,,,377990
1234.0,ARIRANG 미국나스닥테크,20395.0,155.0,+0.77%,0.0,265.0,1300.0,0.0,1212.0,,,287180
1235.0,신한 브렌트원유 선물 ETN(H),13210.0,55.0,+0.42%,0.0,264.0,2000.0,0.0,18.0,,,500004
1236.0,메리츠 레버리지 대표 농산물 선물 ETN(H),26365.0,105.0,+0.40%,0.0,264.0,1000.0,0.0,216.0,,,610035
1237.0,TIGER KRX기후변화솔루션,10095.0,140.0,+1.41%,0.0,262.0,2600.0,0.0,9585.0,,,404540
1238.0,TIGER 200 헬스케어,16335.0,5.0,+0.03%,0.0,261.0,1600.0,0.0,10688.0,,,227540
1239.0,KODEX 탄소효율그린뉴딜,8125.0,55.0,+0.68%,0.0,260.0,3200.0,0.0,544.0,,,375770
1240.0,신한 레버리지 미국달러 선물 ETN,12975.0,190.0,-1.44%,0.0,260.0,2000.0,0.0,75.0,,,500035
1241.0,TIGER MKF배당귀족,11180.0,50.0,+0.45%,0.0,257.0,2300.0,0.03,4284.0,,,445910
1242.0,메리츠 미국채10년 ETN(H),8500.0,35.0,+0.41%,0.0,255.0,3000.0,0.0,687.0,,,610022
1243.0,TIGER 농산물선물Enhanced(H),7880.0,20.0,+0.25%,0.0,252.0,3200.0,0.0,8303.0,,,137610
1244.0,삼성 레버리지 코스닥150 선물 ETN,25150.0,740.0,+3.03%,0.0,252.0,1000.0,0.0,21217.0,,,530106
1245.0,TRUE 레버리지 코스닥 150 선물 ETN,25140.0,650.0,+2.65%,0.0,251.0,1000.0,0.0,70070.0,,,570081
1246.0,삼성 레버리지 코스피200 선물 ETN,25135.0,515.0,+2.09%,0.0,251.0,1000.0,0.0,182.0,,,530104
1247.0,신한 레버리지 코스피 200 선물 ETN,25065.0,475.0,+1.93%,0.0,251.0,1000.0,0.0,2.0,,,500069
1248.0,KODEX S&P글로벌인프라(합성),13940.0,125.0,+0.90%,0.0,250.0,1796.0,0.0,4948.0,,,269420
1249.0,QV 인버스 미국 IT TOP5 ETN(H),12465.0,0.0,0.00%,0.0,249.0,2000.0,0.0,0.0,,,550061
1250.0,SOL 글로벌탄소배출권선물IHS(합성),12440.0,40.0,-0.32%,0.0,249.0,2000.0,0.23,20129.0,,,400590
